course code,course title,ATTRIBUTES,EXCLUSION,DESCRIPTION,PRE-REQUISITE,CO-REQUISITE,VECTOR,PREVIOUS CODE,INTENDEDLEARNINGOUTCOMES,CO-LIST WITH,ALTERNATE CODE(S)
ISDN 2010,ISDN 2010 - Academic and Professional Development II (0 units),,,"Continuation of ISDN 1010. Graded P, PP or F.",,,,,,,
ISDN 2200,ISDN 2200 - Systems Thinking and Design (3 units),,,"This course in Systems Thinking aims to gain students systemic understanding when tackling global challenges in the real world. For example, as widely understood that climate change is more than merely a technological problem. Rather, it is systemic problem underlying aspects of people, technology and environment that are all interconnected in the entire environment. With emphasis on systems, it is important to broaden students' perspective from merely viewing problems in isolation but in relationship with its surroundings. This course stresses on attaining a systemic perspective when approaching technological design in integrative systems. The course introduces studies of systems thinking to aid students systemic understanding. In the course, students are given specific assignment, such as intelligent mobility or waste management systems, and work in groups. At the beginning, they define the systems and analyze specific issues underlying in the systems. Afterwards, they suggest, justify and evaluate their solutions in systemic context.",,,,,,,
ISDN 2400,ISDN 2400 - Physical Prototyping (3 units),,,The aim of this course is to take design concepts to reality. Students will convert their concepts that were created using sketches or 3D design software to tangible prototypes. Quick prototyping using various materials will provide hands-on experience. The course will also provide knowledge on various 3D prototyping technologies so that students can explore the most suitable means to generate functional and aesthetically pleasing prototypes. Hands-on experience with assembly to generate complete prototypes will be emphasized.,ISDN 2300,,,,,,
ISDN 2601,ISDN 2601 - Exploring the World through Smart Mechatronics (3 units),,ELEC 1100,"This course provides an introductory experience into the design and application of smart mechatronic systems on building integrative systems. Students will learn how smart integrative systems are built to sense and interact with humans and the environment, to serve everyday real-world needs. The course includes fundamental theory and also practical hands-on labs and projects for the student to acquire the basic knowledge of designing mechatronic systems, using embedded system to control and practice design thinking process. In the lab sessions, students design and build a succession of mechatronic subsystems, leading to an integrated system in a final project. Lecture topics include embedded system design, basic electronics, use of sensors and actuators, system modelling, measurement and control, and appreciation of the impact of smart mechatronics system in solving real-world problems. In the final project, students will apply design thinking approach to meet the project requirements, specified from usersâ perspective.",,,,ISDN 4000I,,,
ISDN 2603,"ISDN 2603 - Materials, Shape and Design (3 units)",,,"This is a course on design and materials infused with design thinking. It covers the relationship between materials and their properties that inform their use in the design of things. We take a design-focused view, expanding the design requirements into an exploration of material properties for given shapes. This will lead naturally into a deeper understanding of functional properties and structures of materials on the one hand, and deformation and failure modes of solid mechanical objects on the other. Various material families, including metals, alloys, polymers, copolymers, and composites will be studied, and a basic understanding of how shape affects mechanical performance will be introduced. In the projects, the choice of optimal materials and shapes of an object will be determined using the design thinking approach. Instructor's approval is required.",,,,,,,
ISDN 3002,ISDN 3002 - Third Year Design Project II (3 units),,,This course is the second part of the third-year project course offered to third year students. The focus of this course is testing and redesigning of the design concept generated in 3001. The process is repeated until a final design emerges. Instructor's approval is required for enrollment in the course.,,,,,,,
ISDN 3010,ISDN 3010 - Academic and Professional Development III (0 units),,,"Continuation of ISDN 2010. Graded P, PP or F.",,,,,,,
ISDN 3300,ISDN 3300 - Interaction Design (3 units),,,"Interaction Design is a design practice to enhance the interaction between users and design solutions. This course stresses user interaction with technologyâbased products, services or systems. It also studies the broader interactions beyond merely interaction between users with computer platforms. Students will be introduced several forms of interaction design and their core design principles and tools improving user interaction. They include, Interaction Design (IxD) studying how to form a structure for users to act and react to the products, services or systems; User Experience Design (UX) exploring how to enhance a positive feeling for users while interacting; User Interface Design (UI) enhancing the experience through better design of the interface elements. Finally, the course will consider broader aspects of Interaction Design, including interfacing the workflow with other teams, privacy, and dark patterns. Students will design an interactive application from the initial ideation to usability testing.",,,,,,,
ISDN 4000L,ISDN 4000L - Advanced Sketching (2 units),,,"Sketching is a key tool of creativity and communication used by designers and engineers. The course will introduce to students intermediate and advanced level visualization and sketching skills. A larger palette of tools, techniques and materials will be introduced with the aim of enhancing design thinking and conceptual development with a greater variety of visual communication methodologies. Students who do not have the prerequisites but with the basic knowledge of sketching may seek approval from the instructor for enrollment in the course.",ISDN 1004,,,,,,
ISDN 4000P,ISDN 4000P - Introduction to Brand Design (3 units),,,"A project-based, experiential course that introduces students to the basics of Brand Identity Design. Brands and branding are key business tools and techniques. An understanding of how brands are strategically designed and developed can lead to greater coherence between the design disciplines and business development. This course will introduce to the student the basic principles and practices of brand identity design and development through the lens of graphic design and visual communications. Brand assets such as the logo, brand fonts and secondary graphics, brand tone, tools and touchpoints (and much more); and how they are structured, designed and developed via brand frameworks and branding strategies will be explored through a series of lectures and in-class exercises. The course will culminate in an extended hands-on project. Guest speaker(s) will also be invited to give context and insight into the practice and profession.",,,,,,,
ISDN 4000Q,ISDN 4000Q - Designing the Metaverse with Immersive Technologies (3 units),,,"The metaverse is generally understood as a large-scale collection of virtual experiences that users can visit through their digital avatars. This special topic aims to cover the emerging field of the metaverse from technology to applications. The course will first introduce the technologies supporting the metaverse, with a specific focus on immersive technologies such as augmented and virtual reality, before discussing content creation and ownership. Topics covered will include digital twins, 3D scanning, 3D scene design, blockchain and NFTs, AR/VR, and avatars. The course will also include hands-on practice through labs, as well as a final project for students to apply their knowledge.",,,,,,,
ISDN 4002,ISDN 4002 - Final Year Design Project II (4 units),,,"This course is the second part of the final year project course, which continues the project based learning training from the first semester. Students will continue their project and come to a conclusion achieving the project milestones or coming up with the final product prototype by the end of the semester. A final project presentation covers the overall project achievements to the faculty advisor, other ISD faculty members and mentors. Instructor's approval is required for enrollment in the course.",ISDN 4001,,,,,,
ISDN 4010,ISDN 4010 - Academic and Professional Development IV (0 units),,,"Continuation of ISDN 3010. Graded P, PP or F.",,,,,,,
ISDN 4200,ISDN 4200 - Product Management (3 units),,,"A product manager can be considered the CEO of a product line. Interdisciplinary skills are required to deal with the design, technical and business aspects to make the product successful in the marketplace. In this course, students are introduced to various responsibilities of a product manager and clear examples are used to illustrate how product managers interface with cross functional team members to make decisions, assess markets and financials, develop strategies and product roadmaps, and seek customer input. The course aims to get students ready for a position as a product manager. Instructor's approval is required for enrollment in the course.",,,,,,,
ISDN 6660C,ISDN 6660C - Integrative Systems and Design Seminar (0 units),,,Series of seminars by faculty and guest speakers. Regular MPhil(ISD) students must register and pass this course in at least two terms. Regular PhD(ISD) students must register and pass this course in at least four terms. Graded P or F.,,,[1-0-0:0],,,,
ISDN 6990,ISDN 6990 - MPhil Thesis Research (0 units),,,Master's thesis research supervised by a faculty member. A successful defense of the thesis leads to the grade Pass. No course credit is assigned.,,,,ENGG 6990,"On successful completion of the course, students will be able to:1.Design, develop and conduct research on a cross-disciplinary topic.2.Demonstrate sufficient knowledge about the state-of-the-art in the areas related to the research problem.3.Apply principles of design in solving a technical problem.4.Communicate research findings effectively via written and oral communication.",,
ISDN 7990,ISDN 7990 - Doctoral Thesis Research (0 units),,,Original and independent doctoral thesis research. A successful defense of the thesis leads to the grade Pass. No course credit is assigned.,,,,,"On successful completion of the course, students will be able to:1.Design, develop and conduct research on a cross-disciplinary topic.2.Demonstrate sufficient knowledge about the state-of-the-art in the areas related to the research problem and on the broader related topics.3.Apply principles of design in solving a technical problem.4.Communicate research findings effectively via written and oral communication.",,
ISOM 2010,ISOM 2010 - Introduction to Information Systems (3 units),,CORE 1231,"Information systems (IS) is about managing the applications of IT to create business values. Topics include fundamental concepts of IS, e-commerce, digital and internet economy, web 2.0 and social networks, online advertising, personalization and privacy, digital rights management and piracy, business intelligence and decision-making, how organizations harness IS for innovative business strategies, and the socio-economic impact of IS on organizations and societies. The labs cover business problem-solving skills.",,,,,,,
ISOM 2020,ISOM 2020 - Coding for Business (1 unit),,COMP 1021,"This course intends to introduce students to basic programming concepts and skills for business data coding and business problem solving. Using Python as an illustrative programming language, this course provides students with a basic understanding of programming concepts and syntaxes, including data types, associated methods and functions, and control flow statements. Through the process of learning a programming language, students will also develop logical and critical thinking skills and be able to tackle simple business problems with coding. For SBM students only.",,,,,,,
ISOM 2030,ISOM 2030 - Business Protections for Innovations (3 units),Common Core (SA) for 36-credit program[BLD] Blended learning,,"This course addresses the problems and challenges related to regulatory and business protections for business and scientific innovations, product innovations, service innovations, software licenses, encryption, innovation reengineering, trademark, copyright, music downloading, digital entertainment, data mining and personal privacy.",,,,,,,
ISOM 2040,ISOM 2040 - Business Simulation and Strategic Decisions (3 units),[BLD] Blended learning,,"This course combines case discussions to illustrate strategic decision making in business with an integrated hands-on business simulation exercise as part of the learning process. The course may be taught blended-learning with online discussions and meetings, or in a traditional face to face mode. Topics include making strategic choices and evaluating options and tradeoffs in a competitive business simulated industry environment.",,,,ISOM 3100,,,
ISOM 2500,ISOM 2500 - Business Statistics (3 units),,"CIVL 2160, IEDA 2520, IEDA 2540, LIFS 3150, MATH 2411, MATH 3423","Collection, tabulation and presentation of numerical data; concepts of probability and probability distributions; sampling; statistical estimation and hypothesis testing; correlation and regression analysis.",,,,,,,
ISOM 2600,ISOM 2600 - Introduction to Business Analytics (1 unit),,,"This course introduces students with the foundation needed to apply data analytics to real-world challenges they will confront in their future career. It covers statistical tools in descriptive analytics and predictive analytics, including multiple linear regression, logistic regression and clustering. Emphasis is placed on applications, concepts and interpretation of results, rather than theory and calculations. Students use a computer software for data analysis. For SBM and DDP students only.",ISOM 2500. (ISOM 2500 AND COMP 1021) or (MATH 2411 AND COMP 1021) for students without corequisites.,ISOM 2020,,,,,
ISOM 2700,ISOM 2700 - Operations Management (3 units),[BLD] Blended learning,IEDA 4100,"For SB&M students, and programs that designate the course as a required/recommended elective course.  Production and service operations viewed from the strategic, tactical and operational levels; capacity planning, process selection, impact of technology location and layout, material and resource requirements, scheduling and quality control.",,,,,,,
ISOM 3000H,ISOM 3000H - Blockchain Programming in Business Applications (3 units),,,"This course will provide students with a comprehensive overview of blockchain technology, smart contract development, as well as hands-on experience in developing and deploying their dApps in the real-world application environments. Blockchain, defi, NFT, metaverse, and web3.0 are driving the development in the technology sector. To meet the business needs of a growing demand for blockchain developers, this course aims to teach students the technical fundamentals of blockchains, Solidity programming language, de-centralized applications, distributed system and web 3.0 platform, as well as important industry-relevant tools and SDKs such that students can be equipped with industry-relevant experience and knowledge to develop blockchain-based solutions for important business applications.",ISOM 2020 OR ISOM 3400 OR ISOM 3320 OR COMP 1022P OR COMP 1021,,,,,,
ISOM 3010,ISOM 3010 - Information Systems Project Management (3 units),[BLD] Blended learning,ISOM 4750,"This course covers the essential project management knowledge to ensure a successful IS/IT project.  Topics include the methods, tools and techniques for planning, budgeting, scheduling, tracking, and evaluating IS projects; PMBOK Guide; project risk assessment; IT investment decisions.",,,,,,,
ISOM 3180,ISOM 3180 - Telecommunications and Computer Networking Management (3 units),,COMP 4621,"Essential elements of telecommunications in support of business activities. Topics include OSI Model and TCP/IP Protocol Suite, LAN and WAN technology, voice and data communication technologies, communication architectures, networking and security, protocols and standards.",,,,,,,
ISOM 3210,ISOM 3210 - Information Systems Analysis and Design (3 units),[BLD] Blended learning,,The process by which large software systems are built by teams of developers. Techniques for modeling data and process requirements are surveyed and illustrated using computer-aided software engineering (CASE) tools. Topics include information systems development life cycle and object-oriented systems analysis and design using UML.,ISOM 2010,,,,,,
ISOM 3230,ISOM 3230 - Business Programming in VBA (3 units),[BLD] Blended learning,COMP 1022Q,An introduction to business applications programming will be covered in this course. Students will learn and understand programming concepts and gain programming experiences for business applications development through a business programming language.,(For non-BSc in Quantitative Finance students) ISOM 2010,,,,,,
ISOM 3260,ISOM 3260 - Database Design and Administration (4 units),[BLD] Blended learning,"COMP 3311, COMP 4311 (prior to 2018-19),  IEDA 3300",Fundamental concepts of database management systems and their usage for managing the information resources of an organization; methodologies for designing and managing a database system to support business applications.,ISOM 3230 OR ISOM 3320 OR ISOM 3400,ISOM 3210,,,,,
ISOM 3310,ISOM 3310 - e-Business Management and Web Analytics (3 units),,,"This course introduces the fundamental concepts and technologies of e-commerce and e-business management. Topics include e-business models, e-business infrastructure, e-security, e-marketing, e-payment methods, web development, web analytics, and social media analytics.",,,,,,,
ISOM 3330,ISOM 3330 - Data Visualization and Visual Analytics (1 unit),,,"This course is intended to train students to understand and learn the human-centered approach in designing static or interactive visual presentation materials. Students will learn basic design principles to produce their own visual stories that address the business need of reporting and performance monitoring. Students will also be introduced with basic visual analytics techniques that employs computational media to reveal insights from large datasets. By completing the hands-on exercises, students will also gain some practical experience of using modern Business Intelligence tools for data visualization and visual analytics. Graded P or F.",,,,ISOM 3000F,,,
ISOM 3340,ISOM 3340 - Developing AI Applications (1 unit),,,"This course is intended to train students to learn and develop AI applications by using practical and useful development tools. Students will learn basic AI models and analyze their advantages and disadvantages when they are applied in AI applications. The course is divided into 4-day intensive classes. It consists of two parts. The first part covers basic machine learning models and related tools. The second part introduces the development environment, tools, and hands-on labs for training, testing and evaluating AI applications using AI development tools. Having programming knowledge is a plus. Graded P or F.",,,,ISOM 3000C,,,
ISOM 3350,ISOM 3350 - FinTech and Cryptoventures (3 units),,,"This course provides an introduction to FinTech and cryptoventures. Topics include machine learning in financial analytics, Robo-advising, big data alpha models, algorithm trading and high-frequency trading, artificial intelligence, blockchain, cryptocurrencies, smart contracts, markets for smart contracts and applications of blockchain technologies in various finance areas. The class will use R to implement FinTech applications, and Solidity language to demonstrate smart contract development.",ISOM 2010 AND ISOM 2500,,,,,,
ISOM 3360,ISOM 3360 - Data Mining for Business Analytics (3 units),,"COMP 4331, IEDA 3560","This course covers the fundamental concepts, technologies, and applications of business analytics to help firms gain a competitive advantage in the era of Big Data.  Topics include text mining, predictive analytics, search engine strategy, social network analysis, cloud computing, etc. Students will gain hands-on experience with popular data analytical tools.",ISOM 2020 OR COMP 1021,,,,,,
ISOM 3370,ISOM 3370 - Big Data Technologies (3 units),,,"In the era of ""Big Data"", organizations need a new infrastructure/platform to manage the storage and processing of large volume of data. This course introduces the emerging technological paradigm of big data management, as well as some common approaches that are used to gain insights from big data for business decision-making. In particular, it covers a range of big data technologies, including HDFS, MapReduce, Spark, Hive, Pig, etc., that allow for performing data-intensive analysis.",(ISOM 3230 OR ISOM 3320 OR ISOM 3400) AND ISOM 3360,,,,,,
ISOM 3380,ISOM 3380 - Advanced Network Management (CISCO - ICND) (4 units),,ISOM 519,"Combining extensive lab work with lectures and WWW self-paced learning materials provided by the Cisco Networking Academy Program, this course helps students develop practical network administration and management skills. This course is designed to prepare students to take (and pass) the Cisco Certified Network Administrator (CCNA) certification examination.",ISOM 3180,,,,,,
ISOM 3400,ISOM 3400 - Business Applications Development in Python (3 units),,COMP 1021,"This course introduces programing concepts and applications with Python programming language. The applications are mainly in the domain of business analytics. The course covers topics including general programming concepts, object-oriented design, and external Python packages for data manipulation, visualization and analytics.",ISOM 2020,,,,,,
ISOM 3710,ISOM 3710 - Business Modeling and Optimization (4 units),,"CIVL 2170, IEDA 3010, PHYS 4059","The science and technology of informed decision making with focus on optimizing business processes. Spreadsheet decision modeling in Excel will be used throughout. Emphasis on problem formulation, spreadsheet-based solution methods, and managerial insights. Applications to managerial decision problems in diverse industries and functional areas including finance and accounting, human resource, marketing, and operations.",,,,,,,
ISOM 3760,ISOM 3760 - Logistics Management (3 units),,IEDA 3450,Management of purchasing and distribution of goods and services; supply management; material handling; pricing; transportation and warehousing; customer service standards. Second or third year standing preferred.,ISOM 2700,,,,,,
ISOM 3770,ISOM 3770 - Global Supply Chain Management (4 units),[BLD] Blended learning,IEDA 4410,"Single node inventory control, supply chain network, demand management, manufacturing and replenishment in supply chains, information and coordination in supply chains, product variety management.",ISOM 2700 AND ISOM 3710,,,ISOM 4770,,,
ISOM 3900,ISOM 3900 - Decision Analytics (3 units),,,"This course helps the students develop better analytical skills in approaching strategic and tactical business decisions. Students will learn to derive solutions or conclusions that require critical thinking, quantitative analysis, and statistical reasoning skills. These skills are essential and indispensable for major business decisions.",ISOM 2500 AND ISOM 2700,,,,,,
ISOM 4000C,ISOM 4000C - Digital Strategy and Transformation (3 units),,,"Digital strategy and transformation are critical in almost every industry. This course covers two main themes to prepare students to contribute to digital initiatives in their future workplace. First, we will learn frameworks and concepts to help organizations develop their digital strategy. Second, we will examine how public and private organizations can and should implement digital transformation projects to improve stakeholder value. This course is designed for Year 3 and Year 4 students who are interested in IT and/or consulting careers.",ISOM 2010,,,,,,
ISOM 4300,ISOM 4300 - Information Systems Control and Assurance (3 units),,ISOM 4200,"This course introduces the fundamental concepts and tools to perform information systems (IS) control and assurance.  Topics include IS control standards, guidelines and best practices to protect and control business systems, IT governance frameworks (e.g., COBIT), as well as the latest development in IS management practice.",ISOM 2010,,,,,,
ISOM 4400,ISOM 4400 - Information Systems Project (6 units),,ISOM 4380,Development of an information system with substantial complexity through the use of methodologies and technologies. May be graded PP. Student enrollment in this course requires the approval of the course instructor. Credit load will be spread over the year.,,,,,,,
ISOM 4520,ISOM 4520 - Statistics for Financial Risk Management (4 units),,,"This course provides an introduction to financial risk management. Topics include how to measure market risks, statistical properties of returns and volatility, volatility modeling, Value at Risk (VaR), Risk Metrics, historical simulation, assessing VaR methods and stress testing. Theories will be illustrated by practical examples in financial markets.",ISOM 3540 (Note: Students who have sufficient background in probability but without pre-requisite may enroll in the course upon approval by the instructor),,,,,,
ISOM 4540,ISOM 4540 - Time Series Analysis and Forecasting (4 units),,"ECON 4304, MATH 4425","Review of regression and its application to forecasting problems; moving averages, exponential smoothing, Box-Jenkins, ARIMA models and transfer function models; forecasts of economic, financial and business time series.",ISOM 2500 or MATH 2411,,,,,,
ISOM 4750,ISOM 4750 - Business Project Management (3 units),,,"This course covers basic principles and practices of business project management.  Special emphases are on project planning, scheduling, and control while addressing both the technical and the social aspects of managing business projects.",ISOM 2700,,,,,,
ISOM 4780,ISOM 4780 - Integrated Planning and Execution (3 units),,ISOM 2040,This course will use an integrated simulation game as a major learning tool to illustrate how strategic and operational decisions should be made in a competitive business environment. Students will learn to integrate and align key decisions in different business functions to simultaneously achieve a set of defined performance objectives of a company by evaluating decision alternatives and tradeoffs as well as optimizing the resource utilization.,ISOM 2700,,,,,,
ISOM 4830,ISOM 4830 - Analytics for Service Operations (3 units),,,"This course focuses on concepts and tools that can generate operational excellence for the production and delivery of services across various industries including healthcare, ride-hailing, advertising, and various types of financial services. Unlike traditional product markets, a salient feature of these industries is that services are often intangible and not storable, and often high variable, which raises significant challenges in decision making. The goal of this course is to improve the understanding of these challenges and to learn how to overcome the obstacles with data-driven quantitative models. This course will introduce simple predictive and prescriptive methods that are useful in service operations. Students will also have the opportunity to apply these concepts in various service industries by conducting a group project.",ISOM 2700 AND ISOM 3710,,,,,,
ISOM 4880,ISOM 4880 - Operations Management Project (3 units),,,"This course is offered to those students who are interested in applying what they have learned in other OM courses to solve real business problems for a sponsoring corporation.  Recommendation and/or implementation of solutions will be made through the use of operations management concepts, techniques, and tools.  Students will work as a group and be supervised by faculty members. Enrollment in this course requires the approval of course instructor.",,,,,,,
ISOM 4890A,ISOM 4890A - Independent Study in Operations Management (1 unit),,,Faculty directed independent study on selected topics in operations management.,,,,,,,
ISOM 5010,ISOM 5010 - IS Enrichment Workshops (0 units),,,"A series of workshops will be offered to develop studentsâ essential business skills and knowledge especially in Information Systems Management field. Different seasoned speakers or practitioners will be invited in this course. No assignment and exam will be needed. Students are expected to attend regularly in accordance with the course requirements. Graded PP, P or F.",,,[0-1-0:0],,"On successful completion of the course, students will be able to:1.Recognize IS management process in different companies/  industries.2.Identify the current market trend and development of different sectors of IS industry.",,
ISOM 5020,ISOM 5020 - Information and Technology Management (2 units),[BLD] Blended learning,"IMBA 5120, ISOM 5100","A general manager's perspective on the strategic roles of information and technology in companies, overview of enabling technologies, how information systems are developed and managed, and how to make technology management decisions.",,,[2-0-0:2],"ISOM 502, ISMT 502","On successful completion of the course, students will be able to:1.Analyze and solve problems in Information Technology management.2.Apply tools, analytical frameworks and general principles for managing Information Technology.3.Identify how decision regarding Information Technology may impact other functional areas.",,
ISOM 5170,ISOM 5170 - Big Data Technologies (2 units),,,"This course introduces the emerging technological paradigm for managing ""big data"". Topics covered include a range of big data technologies, such as HDFS, MapReduce, Spark, Hive, Pig, etc.",,,[2-0-0:2],,"On successful completion of the course, students will be able to:1.Articulate and/or explain how big data technologies can improve business data management and lead to better business decision making.2.Choose the right big data tools/techniques for various scenarios where business problems arise.3.Use big data tools to solve real data problems.",,
ISOM 5220,ISOM 5220 - FinTech Regulation and Compliance (2 units),,,"This course provides students with frameworks, concepts, and background to understand the role of regulation, compliance and assurance in FinTech markets from both technology and business perspectives. The course will also examine the perspectives of government officials, investors, managers, and consumers in how they benefit from, guide, and influence the evolution of regulation and associated compliance activities.",,,[2-0-0:2],,"On successful completion of the course, students will be able to:1.Identify major regulatory objectives and implications for FinTech.2.Assess how technology influences and is influenced by regulation and markets.3.Describe RegTech and InsurTech ecosystems to understand regulatory transformation and opportunities created by relevant technologies.4.Examine the risks and challenges associated with technology innovations in the context of FinTech applications.5.Discuss future directions of FinTech and its implications for their own future.",,
ISOM 5230,ISOM 5230 - Privacy Management in the Digital Age (2 units),,,"This course provides an overview of privacy management in the digital age. It covers the fundamental concepts and dimensions of privacy, the regulatory requirements, and various management tools to comply with data protection laws and meet public expectation. Through the analysis of privacy impacts on a number of new technologies such as artificial intelligence, blockchain, cloud, data analytics and their applications, students may learn how to respect individualsâ privacy when applying technologies.",,,[2-0-0:2],ISOM 610A,"On successful completion of the course, students will be able to:1.Explain the fundamental tension in data and privacy protection and development.2.Discuss privacy in the dimensions of secrecy, seclusion and autonomy/freedom.3.Discuss data protection law as a protector of individual rights and facilitator for commerce.4.Compare and contrast different data protection regimes and regulations.5.Recognize the limitation of the law, impacts of technological changes and the expectation of the public.6.Explain how to apply relevant management tools to demonstrate commitments on privacy and data protection.7.Identify the privacy challenges and benefits of technological developments and manage them at the work context.8.Identify the common challenges, mistakes, and management lessons in data protection and privacy management from real-life cases, and apply/articulate them in future cases.",,
ISOM 5240,ISOM 5240 - Deep Learning Business Applications with Python (2 units),,,"Deep Learning (DL) is a promising way for developing Artificial Intelligence (AI) applications. It is exceptionally useful for training a large amount of unstructured historical datasets, and predicting the most-likely outputs. DL can be applied in many business areas such as finance, marketing, customer services, information security and so on, and most importantly DL can outperform existing non-AI systems due to the nature of neural networks. This course intends to introduce Python programming language for developing DL business applications. Students will apply knowledge in current and future trends of DL to design DL business applications.",,,[2-0-0:2],,"On successful completion of the course, students will be able to:1.Apply Python programming to develop deep learning business applications.2.Describe and differentiate deep learning models.3.Explain the logic of deep learning business applications written in Python.",,
ISOM 5250,ISOM 5250 - Business Modeling with VBA (2 units),,,"This course introduces students to business application modeling using Visual Basic Applications (VBA) in Excel. Students will learn to develop applications in different business areas, including finance, marketing, technology operations, etc. Essential features of VBA needed for application development will be introduced as part of the course and hence no prior experience with VBA is needed. Emphasis is on extensive hands-on problem solving.",,,[2-0-0:2],"ISOM 6000A, ISOM 611C","On successful completion of the course, students will be able to:1.Explain object oriented programming (OOP) concepts.2.Model business problems logically.3.Develop programming solutions to business problems.4.Write computer programs with common programming practices.5.Identify and fix logical and runtime errors in computer programs.",,
ISOM 5270,ISOM 5270 - Big Data Analytics (2 units),,,"Data plays an increasingly important role in business decision making. This course introduces the key concepts and applications of business analytics in the world of Big Data. Example business problems to be solved analytically include customer relationship management, financial trading, social media marketing, search engine strategy, etc. Hands-on experience with popular data analytical tools will be included.",,,[2-0-0:2],"ISOM 527, ISMT 527","On successful completion of the course, students will be able to:1.Approach business problems data-analytically (intelligently). Think carefully & systematically about whether & how data can improve business performance.2.Interact competently on the topic of data analytics. Know the basics of data mining processes, techniques, & systems well enough to interact with business analysts, marketers, and clients. Be able to envision Big Data opportunities.3.Identify the right Big Data techniques for various business problems. Gain hands-on experience in using popular data analysis tools.",,
ISOM 5320,ISOM 5320 - Digital Business and Web Analytics (2 units),,,"This course offers essential knowledge and tools for managers of digital business. Topics include e-commerce models, web analytics, Internet marketing, Internet pricing and strategy, web-based personalization, online-intermediaries, etc.",,,[2-0-0:2],"ISOM 532, ISMT 532","On successful completion of the course, students will be able to:1.Describe how a business organizationâs choices of strategy and process are closely related to its information management and communications capabilities in the context of digital business.2.Develop quantitative and analytical techniques to solve business problems with innovative perspectives.3.Analyze the core technological and business issues and identify critical factors for business decision-making with the context of digital business.4.Evaluate information systems relations with strategy, process, organization and market.",,
ISOM 5330,ISOM 5330 - Financial Technology for Business Professionals (2 units),,"ISOM 5340, CSIT 5920","This course provides students with an overview of the underlying information technologies used in the finance, banking, and insurance industries. The course covers the critical business, legal and technology issues and the related risks faced by corporate executives when analyzing, designing, launching and managing Financial Technology projects to drive business innovations.",,,[2-0-0:2],ISOM 6000E,"On successful completion of the course, students will be able to:1.Explain what FinTech is and the underlying ICT (Information Communication Technology) that supports the disruptive business strategies/models.2.Explore and assess the threats and the business opportunities in the innovative finance landscape with Artificial Intelligence, big data, blockchain and distributed ledger technology (DLT).3.Critically examine the innovative FinTech business models, ICT and their respective critical success factors, risks, compliance and legislative frameworks related to Crowd Funding, Fast Payment, Financial Intelligence, Quantitative Finance, Algorithmic Trading and High Frequency Trading for institutional/professional traders vs. retail traders, and Robo-Traders.4.Lead FinTech development teams when dealing with stakeholders from business, IT, legal, audit and the regulators.5.Manage global FinTech and InsurTech projects and be part of the senior executive team.",,
ISOM 5360,ISOM 5360 - Information Systems Auditing (2 units),,,"This course introduces the fundamental concepts of information systems (IS) auditing.  Topics include IS control and assurance, COBIT, business continuity planning, protection of information assets, auditing the network infrastructure, physical access exposures and controls, and disaster recovery management.",,,[2-0-0:2],ISOM 536,"On successful completion of the course, students will be able to:1.Develop and implement a risk-based IT audit strategy in compliance with IT audit standards to ensure that key areas are included.2.Plan specific audits to determine whether information systems are protected, controlled and provide value to the organization.3.Conduct audits in accordance with IT audit standards to achieve planned audit objectives.4.Evaluate the effectiveness of the IT governance structure to determine whether IT decisions, directions and performance support the organization's strategies and objectives.5.Evaluate the organization's IT policies, standards, and procedures, and the processes for their development, approval, implementation, maintenance, and monitoring, to determine whether they support the IT strategy and comply with regulatory and legal requirements.6.Evaluate the organization's business continuity plan to determine the organization's ability to continue essential business operations during the period of an IT disruption.7.Evaluate the business case for proposed investments in information systems acquisition, development, maintenance and subsequent retirement to determine whether it meets business objectives.8.Evaluate the project management practices and controls to determine whether business requirements are achieved in a cost-effective manner while managing risks to the organization.9.Evaluate the information security policies, standards and procedures for completeness and alignment with generally accepted practices.10.Evaluate the design, implementation and monitoring of physical access and environmental controls to determine whether information assets are adequately safeguarded.",,
ISOM 5390,ISOM 5390 - Digital and Social Media Strategy (2 units),,,"This course examines how firms can use digital marketing and social media to reach, acquire, and engage customers. Topics include search and display ads, viral marketing analytics, online word-of-mouth, social data, and mobile ads and apps, etc.",,,[2-0-0:2],ISOM 6000D,"On successful completion of the course, students will be able to:1.Explain key concepts in digital and social media strategy.2.Develop strategies for viral campaigns.3.Implement strategies for handling negative online word-of-mouth.4.Develop strategies to engage customers in a mobile-driven economy.5.Conduct analyses to support digital/social media strategies and activities.",,
ISOM 5450,ISOM 5450 - Technology Consulting (2 units),,,"This course is designed for students from different professions to become skilled in using consulting tools to analyze issues, evaluate solutions from multiple dimensions of people, process, technology and governance, and then use a framework for IT strategy recommendations for effective communication.  Students will learn how to apply these technology consulting tools to the latest technology trends, such as big data, e-commerce, e-recruitment, security, etc. facing today's businesses.",,,[2-0-0:2],ISOM 6000C,"On successful completion of the course, students will be able to:1.Think critically and structure arguments logically.2.Internalize consulting methodologies with hands-on practice.3.Analyze the mindset of consultants and decision-makers.4.Improve communication, public speaking and rejection handling.",,
