Title,Link,Categories,Organizer,Location,Date,URL,Description,Start Date,End Date,Location Name,Location Country,Performer Name,Performer URL
Unpacking Profit and Pride in EMI Higher Education,https://calendar.hkust.edu.hk/events/unpacking-profit-and-pride-emi-higher-education,"Seminar, Lecture, Talk",Organized by Division of Humanities,"Room 4582, (Lift no. 27-28)",23  May  2023,https://calendar.hkust.edu.hk/events/unpacking-profit-and-pride-emi-higher-education,"Abstract:In a neoliberal era marked by a global expansion of higher education, many Western based universities aggressively opened EMI satellite campuses in Asia and the Middle East. Inspired by profit and the need to chase the foreign tuition dollar, such expansionary efforts have met with different degrees of success. However, as world economic growth starts to recede and nationalist sentiments rise, we have witnessed a curtailing, and in some cases withdrawal, of these transnational endeavours. Adopting an ecological approach to better understand this educational phenomenon, I investigate how English monolingual biases and an emergent interest and pride in local languages within several countries that have hosted joint venture foreign campuses have been negotiated. Specifically, I explore the ways in which different social actors – students, faculty and administrators – engage in complex identity work that often results in individuals being sorted and sieved according to the various levels of capital that they possess. These actors’ strategic policy and pedagogical decisions will also be unpacked against mounting internal pressures by governments to raise the standards of local universities in the face of stiff global university ranking competition.   Biography:Peter I. De Costa is an Associate Professor in the Department of Linguistics, Languages & Cultures and the Department of Teacher Education at Michigan State University.  As a critical applied linguist, his research areas include emotions, identity, ideology and ethics in language learning, language teaching, and language policy. His ecologically- and social justice-oriented work looks at the intersection between second language acquisition (SLA), second language teacher education (SLTE), and language policy. He is the co-editor of TESOL Quarterly and the President Elect of the American Association for Applied Linguistics (AAAL).  ",2023-05-23,2023-05-23,"['Room 4582', '(Lift no. 27-28)']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
"Physics Department - Topological Phase Engineering, from Electronics to Phononics [Updated - Time changed from 14:00 - 15:30 to 15:00 to 16:30]",https://calendar.hkust.edu.hk/events/physics-department-topological-phase-engineering-electronics-phononics-updated-time-changed,"Seminar, Lecture, Talk",Organized by Department of Physics,"Room 1410, Academic Building, HKUST (Lifts 25-26)",24  May  2023,https://calendar.hkust.edu.hk/events/physics-department-topological-phase-engineering-electronics-phononics-updated-time-changed,,2023-05-24,2023-05-24,"['Room 1410', 'Academic Building', 'HKUST (Lifts 25-26)']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Economics Webinar  - Trade-Policy Dynamics: Evidence from 60 Years of U.S.-China Trade,https://calendar.hkust.edu.hk/events/economics-webinar-trade-policy-dynamics-evidence-60-years-us-china-trade,"Seminar, Lecture, Talk",Organized by Department of Economics,Online via Zoom,24  May  2023,https://calendar.hkust.edu.hk/events/economics-webinar-trade-policy-dynamics-evidence-60-years-us-china-trade,"We study the growth of Chinese exports to the United States, from autarky during 1950–1970 to 15 percent of overall U.S. imports in 2008, taking advantage of the rich heterogeneity in trade policy and trade growth across products during this period. Central to our analysis is an accounting for the dynamics of trade flows, observed trade policy, and expectations about future policy. In our empirical analysis, we estimate the dynamics of the elasticity of Chinese exports to (i) past tariff changes and (ii) the risk of future tariff hikes. We find Chinese exports responded slowly to the tariff changes that occurred when China was granted most-favored-nation status in 1980, and that policy uncertainty was more important in the immediate aftermath of this liberalization than in the lead-up to China’s 2001 accession to the World Trade Organization. However, separately identifying these two effects using data alone is difficult. In our quantitative analysis, we disentangle these effects by using a structural model to estimate a path of trade-policy expectations. We find the 1980 reform was largely a surprise and initially had a high probability of being reversed. The likelihood of reversal dropped considerably during the mid 1980s but changed little throughout the late 1990s and early 2000s despite China’s accession to the World Trade Organization in 2001.",2023-05-24,2023-05-24,Online via Zoom,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Economics Webinar  - Unique Stable Matchings,https://calendar.hkust.edu.hk/events/economics-webinar-unique-stable-matchings,"Seminar, Lecture, Talk",Organized by Department of Economics,Online via Zoom,24  May  2023,https://calendar.hkust.edu.hk/events/economics-webinar-unique-stable-matchings,"In this paper we show that a one-to-one two-sided matching market possesses a unique stable matching if and only if preferences on the normal form (Irving and Leather, 1986; Balinski and Ratier, 1997) are acyclic (Chung, 2000) if and only if the normal form is precisely the unique stable matching and nothing more.",2023-05-24,2023-05-24,Online via Zoom,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
IAS Program on Particle Theory - What's Done Cannot be Undone: Non-invertible Symmetry,https://calendar.hkust.edu.hk/events/ias-program-particle-theory-whats-done-cannot-be-undone-non-invertible-symmetry,"Seminar, Lecture, Talk",Organized by HKUST Jockey Club Institute for Advanced Study,"IAS4042, 4/F, Lo Ka Chung Building, Lee Shau Kee Campus, HKUST",25  May  2023,https://calendar.hkust.edu.hk/events/ias-program-particle-theory-whats-done-cannot-be-undone-non-invertible-symmetry,"Abstract

The speaker will give an overview on non-invertible global symmetries based on a series of works done in the past year. In particular, he will discuss how the Krammers-Wannier duality of the 2d Ising model can be understood as a non-invertible global symmetry. Then, the speaker will discuss a new non-invertible global symmetry in QED and real-world QCD in the massless limit and show that the neutral pion decay can be understood as a consequence of this generalized global symmetry. He will conclude with a summary highlighting some of the important progress on this subject.

 

About the Speaker

Dr. LAM Ho Tat is currently a postdoctoral researcher at MIT working on the intersection of high energy theory and condensed matter theory. Before this he obtained a PhD in Physics from Princeton University following his MSc in Physics from Perimeter Institute for Theoretical Physics and a BSc in Physics and Mathematics from The Hong Kong University of Science and Technology (HKUST).

 

About the Program

For more information, please refer to the program website at http://iasprogram.ust.hk/particle_theory.

 

For Attendees' Attention


	Seating is on a first come, first served basis.",2023-05-25,2023-05-25,"['IAS4042', '4/F', 'Lo Ka Chung Building', 'Lee Shau Kee Campus', 'HKUST']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Economics Webinar  - A Simple Model of Network Multiplexity,https://calendar.hkust.edu.hk/events/economics-webinar-simple-model-network-multiplexity,"Seminar, Lecture, Talk",Organized by Department of Economics,Online via Zoom,25  May  2023,https://calendar.hkust.edu.hk/events/economics-webinar-simple-model-network-multiplexity,"We provide a simple network model of multiple layers (referred to as multiplexity), an important but understudied topic in the network literature. On any layer, agents’ incentives are influenced by their within-layer social ties. Facing aggregate effort constraint, agents optimize across layers, which may have heterogeneous network structures. We first characterize the equilibrium of this game and determine the importance of both within and between-layer interactions in terms of shock propagations. Then, we identify the optimal targeting interventions with multiplexity. Applications to multiple club goods, markets with neighborhood effects, and management of multiple social relationships are provided.",2023-05-25,2023-05-25,Online via Zoom,HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Department of Chemistry Seminar - Controllable Activation of Platinum Drugs In Vivo,https://calendar.hkust.edu.hk/events/department-chemistry-seminar-controllable-activation-platinum-drugs-vivo,"Seminar, Lecture, Talk",Organized by Department of Chemistry,"Room 5583, 5/F (Lifts 27/28), Academic Building, HKUST",25  May  2023,https://calendar.hkust.edu.hk/events/department-chemistry-seminar-controllable-activation-platinum-drugs-vivo,"Speaker: Professor Guangyu ZHUInstitution: Department of Chemistry, City University of Hong KongHosted By: Professor Jianwei SUN",2023-05-25,2023-05-25,"['Room 5583', '5/F (Lifts 27/28)', 'Academic Building', 'HKUST']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
The 35th International Symposium on Power Semiconductor Devices and ICs   -  (ISPSD 2023),https://calendar.hkust.edu.hk/events/35th-international-symposium-power-semiconductor-devices-and-ics-ispsd-2023,"Conference, Symposium, Forum",Promoted by Department of Electronic & Computer Engineering on behalf of IEEE,"Shaw Auditorium, HKUST",28  May  2023 to 1  June  2023,https://calendar.hkust.edu.hk/events/35th-international-symposium-power-semiconductor-devices-and-ics-ispsd-2023,"ISPSD 2023 is coming to Hong Kong and will be held in SHAW Auditorium.

The conference spans a total of five days, commencing with a full-day short-course program on Sunday (28 May) covering seven diverse topics from devices, technologies to reliability and system applications. In the plenary sessions on Monday 29 May and Tuesday 30 May, attendees will hear from four expert speakers, one from each region, on the global technical trends in Power Delivery for Artificial Intelligence, the emerging gallium oxide power device technology, wide-bandgap GaN for power systems, and evolution of automotive power modules.",2023-05-28,2023-06-01,"['Shaw Auditorium', 'HKUST']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Engineering Energy Networks Facing Global Transition: From Predicting Cascading Failures to Optimizing System Safety,https://calendar.hkust.edu.hk/events/engineering-energy-networks-facing-global-transition-predicting-cascading-failures,"Seminar, Lecture, Talk",Organized by Division of Environment and Sustainability,"Room 1409 (Lifts 25-26), HKUST",29  May  2023,https://calendar.hkust.edu.hk/events/engineering-energy-networks-facing-global-transition-predicting-cascading-failures,"Aiming at a sustainable energy production and at securing their energy supply, many countries are about to transition from a fossil-dominated to a green energy mix encompassing sunlight, mechanical energy and heat together with fossil and synthetic fuels. At the same time, the energy infrastructure is evolving from a collection of independently built, isolated energy carrier networks towards globally-integrated multi-energy systems. The integration of networks is clearly beneficial in view of designing optimal sustainable energy systems, but their heavily interconnected nature makes them vulnerable to cascading failures with potentially catastrophic consequences. This talk addresses the grand challenges and presents the methodological developments necessary to guide the evolution of energy infrastructure through vulnerability-based adaptation. They encompass (i) the development of high-fidelity, efficient mathematical models for quantifying the risk of cascading failures across the interdependent infrastructure; (ii) understanding the impact of the water-energy nexus on electrical energy conversion and mitigating its effect in the face of climate change; (iii) developing and validating early warning indicators of critical transitions and fault diagnosis tools in complex dynamical systems. Aside from presenting recent methodological developments, the future research challenges related to the engineering of resilient energy networks are also discussed.",2023-05-29,2023-05-29,"['Room 1409 (Lifts 25-26)', 'HKUST']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
"Energy, Environmental, and Food Security Implications of a Net-zero CO2 Emissions Chemical Industry",https://calendar.hkust.edu.hk/events/energy-environmental-and-food-security-implications-net-zero-co2-emissions-chemical-industry,"Seminar, Lecture, Talk",Organized by Division of Environment and Sustainability,"Room 1409 (Lifts 25-26), HKUST",30  May  2023,https://calendar.hkust.edu.hk/events/energy-environmental-and-food-security-implications-net-zero-co2-emissions-chemical-industry,"To limit global warming below 1.5°C, all anthropogenic activities will have to reach net-zero CO2 emissions by mid-century. The chemical industry is responsible for about 5% of global CO2 emissions and is key to achieving net-zero targets. Decarbonizing this industry, nevertheless, faces a special challenge in that a large fraction of chemical products contain carbon. Yet, multiple technology routes are now available for producing chemicals with net-zero CO2 emissions based on biomass, recycling, and carbon capture, utilization, and storage. However, the extent to which these routes are viable with respect to the local availability of energy and natural resources remains unclear. In this seminar, I compare net-zero routes by quantifying their energy, land, and water requirements and the corresponding induced resource scarcity at the country-level, and further discuss the technical and environmental viability of a net-zero chemical industry. Furthermore, I dive into ammonia and fertilizers production to investigate the energy and food security implications of net-zero nitrogen fertilizers.",2023-05-30,2023-05-30,"['Room 1409 (Lifts 25-26)', 'HKUST']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
"IAS Program on Inverse Problems, Imaging and Partial Differential Equations: Transformer Meets Boundary Value Problems: Structure-conforming Operator Learning",https://calendar.hkust.edu.hk/events/ias-program-inverse-problems-imaging-and-partial-differential-equations-transformer-meets,"Seminar, Lecture, Talk",Organized by HKUST Jockey Club Institute for Advanced Study,"Online via Zoom, hosted by the Department of Mathematics of the Chinese University of Hong Kong",31  May  2023,https://calendar.hkust.edu.hk/events/ias-program-inverse-problems-imaging-and-partial-differential-equations-transformer-meets,"Abstract
A Transformer-based deep direct sampling method is proposed for solving a class of boundary value inverse problem. A real-time reconstruction is achieved by evaluating the learned inverse operator between carefully designed data and the reconstructed images. An effort is made to give a case study for a fundamental and critical question: whether and how one can benefit from the theoretical structure of a mathematical problem to develop task-oriented and structure-conforming deep neural networks? Inspired by direct sampling methods for inverse problems, the 1D boundary data are preprocessed by a partial differential equation-based feature map to yield 2D harmonic extensions in different frequency input channels. Then, by introducing a learnable non-local kernel, the approximation of direct sampling is recast to a modified attention mechanism. The proposed method is then applied to electrical impedance tomography, a well-known severely ill-posed nonlinear inverse problem. The new method achieves superior accuracy over its predecessors and contemporary operator learners, as well as shows robustness with respect to noise. This research shall strengthen the insights that the attention mechanism, despite being invented for natural language processing tasks, offers great flexibility to be modified in conformity with the a priori mathematical knowledge, which ultimately leads to the design of more physics-compatible neural architectures.For Attendees' Attention
This talk is hosted by the Department of Mathematics of the Chinese University of Hong Kong and will be held online via Zoom. To attend, please join the Zoom meeting at https://cuhk.zoom.us/j/98241093146 (Meeting ID: 982 4109 3146).About the Program
For more information, please refer to the program website at https://iasprogram.hkust.edu.hk/inverseproblems/.",2023-05-31,2023-05-31,"['Online via Zoom', 'hosted by the Department of Mathematics of the Chinese University of Hong Kong']",HK,The Hong Kong University of Science and Technology,https://www.ust.hk
Department of Mathematics - Seminar on Scientific Computation - A fourth-order conservative semi-Lagrangian finite volume WENO scheme without operator splitting for kinetic and fluid simulations,https://calendar.hkust.edu.hk/events/department-mathematics-seminar-scientific-computation-fourth-order-conservative-semi,"Seminar, Lecture, Talk",Organized by Department of Mathematics,Room 5510 (Lifts 25/26),31  May  2023,https://calendar.hkust.edu.hk/events/department-mathematics-seminar-scientific-computation-fourth-order-conservative-semi,"In this presentation, we present a fourth-order conservative semi-Lagrangian (SL) finite vol-ume (FV) weighted essentially non-oscillatory (WENO) scheme without operator splitting for two-dimensional linear transport equations with applications of kinetic models including the nonlinear Vlasov-Poisson system, the guiding center Vlasov model and the incompressible Euler equation in the vorticity-stream function formulation. To achieve fourth-order accuracy in space, two main ingredients are proposed in the SL FV formulation. Firstly, we introduce a so-called cubic-curved quadrilateral upstream cell and applying an efficient clipping method to evaluate integrals on upstream cells. Secondly, we construct a new WENO reconstruction operator, which recovers a P3 polynomial from neighboring cell averages. Mass conservation is accomplished with the mass conservative nature of the reconstruction operator and the SL formulation. A positivity-preserving limiter is applied to maintain the positivity of the numerical solution wherever appropriate. For nonlinear kinetic models, the SL scheme is coupled with a fourth-order Runge-Kutta exponential integrator for high-order temporal accuracy. Extensive bench marks are tested to verify the designed properties.",2023-05-31,2023-05-31,Room 5510 (Lifts 25/26),HK,The Hong Kong University of Science and Technology,https://www.ust.hk
